Pto. El Espinillo	埃尔埃斯皮尼约村
Pto. Simbolar del Anta	辛博拉尔-德尔安塔村
El Algarrobal	埃尔-阿尔加罗瓦尔村
Pto. Pozo La Chica	波索拉奇卡村
Pto. El Zapallo	埃尔萨帕约村
Cnia F. J. Muñiz	穆尼斯移民村
Pto. Pozo Lecherón	波索莱切龙村
Pto. Pozo Escondido	波索埃斯孔迪多村
Pto. Pozo La Cierva	波索拉谢尔瓦村
Pto. El Porvenir	埃尔波尔韦尼尔村
Pto. Simbolar 23	辛博拉尔23村
Pto. Pozo El Quebracho	波索-埃尔-克夫拉乔村
Pto. Los Colorados	洛斯科洛拉多斯村
Ea. Las Flores	拉斯夫洛雷斯庄园
Ea. Las Maravillas	拉斯马拉维亚斯庄园
Pto. Km 525	525公里村
Río Teuco	特乌科河
Pto. El Guayocán	埃尔瓜约坎村
Cnia J. B. Alberdi	阿尔韦尔迪移民村
Tte. Brown	布朗村
Pto. Alto Alegre	阿尔托阿莱格雷村
Laguna El Escondido	埃尔埃斯孔迪多湖
El Escondido	埃尔埃斯孔迪多
Cpo. El Luminoso	坎波-埃尔-卢米诺索村
Pto. El Quebracho	埃尔克夫拉乔村
Ea. San Antonio	圣安东尼奥庄园
Ea. Casa Blanca	卡萨布兰卡庄园
Pto. Arbolito	阿尔沃利托村
A. Monte lindo	蒙特林多溪
A. Salado o Saladillo	萨拉多溪或萨拉迪约溪
Pozo del Tigre	波索德尔蒂格雷村
Est.	车站
Misión San Nicolás	米西翁-圣尼古拉斯村
Pto. La Felicidad	拉费利西达德村
Cnia San Bernardo	圣贝尔纳尔多移民村
Pozo Verde	波索贝尔德村
Lag. San Luis	圣路易斯湖
A. Salado	萨拉多溪
Pto. Rojas	罗哈斯村
Ea. Las Tres Cañadas	拉斯--特雷斯卡尼亚达斯庄园
El Algarrobal	埃尔-阿尔加罗瓦尔
Pto. González	冈萨雷斯村
San Ramón	圣拉蒙村
Campo Alegre	坎波阿莱格雷村
Estanislao del Campo	埃斯塔尼斯劳-德尔坎波村
Pto. Miranda	米兰达村
Tres Pozos	特雷斯波索斯村
Pto. Vda. de Solare	德索拉雷村
Las Horquetas	拉斯奥尔克塔斯村
Ea. La Soledad	拉索莱达德庄园
El Tartagal	埃尔塔尔塔加尔村
Pto. El Retiro	埃尔雷蒂罗村
Pto. Bonita	博尼塔村
Monte Alegre	蒙特阿莱格雷村
Lag. Chapapieyú	查帕彼尤湖
Cnia Km 503	503公里移民村
Ea. Pozo El Algarrobo	波索-埃尔-阿尔加罗沃庄园
Alm.	仓库
Pto. Alvarado	阿尔瓦拉多村
Rcho. Salado o Saladillo	萨拉多溪（萨拉迪约溪）
Ea. Sta. Regina	雷希纳小姐庄园
Ea. La Chacra	拉查克拉庄园
Subt. Perín	佩林镇
Ea. La Providencia	拉普罗维登西亚庄园
Toldería Cnia. de Oro	奥罗移民村
Pto. Gómez	戈麦斯村
R. Muerto de la Charata	穆埃尔托-德拉查拉塔河
La Fidelidad	拉菲德利达德村
Lag. del Suro	苏罗湖
Pto. Campo Nuevo	新坎波村
R. Bermejito	贝尔梅希托河
Bajo Hondo	巴霍翁多村
Pto. Los Morteritos	洛斯-莫尔特里托斯村
Pto. El Aguará	埃尔阿瓜拉村
La Armonía	拉阿尔莫尼亚村
Pto. El Molle	埃尔莫耶村
Campo Verde	坎波贝尔德村
La Esperanza	拉埃斯佩兰萨村
Pto. El Algarrobal	埃尔-阿尔加罗瓦尔村
R. Muerto	穆埃尔托河
Pto. del Fondo	丰多村
Lag. Manantiales	马南蒂亚莱斯湖
Ero. Cevalle	塞瓦耶湖
Manantiales	马南蒂亚莱斯村
Pto. Fernández	费尔南德斯村
Pozo de la Línea	波索德拉利内阿
Pto. Méndez	门德斯村
Ex. Fn. Wilde	福尔延威尔德村
Pto. Tres Horcones	特雷斯-奥尔科内斯村
Tolderías	托尔德里亚斯村
La Gringa	拉格林加村
Bajada Alta	巴哈达阿尔塔村
Pto. Sta. Elena	埃莱娜小姐村
Las Hacheras	拉斯阿切拉斯村
Pozo del Maulle	波索德尔毛耶村
Pozo de la Pava	波索德拉帕瓦
Pto. El Totoral	埃尔托托拉尔村
Rcho. Guaycurú	瓜伊库鲁溪
Rcho. Salado	萨拉多溪
Ero Campo Azul	坎波阿苏尔湖
Palo Marcado	帕洛马尔卡多村
La Soledad	拉索莱达德
Pozo de la Tuna	波索德拉图纳
Pto. Vázquez	巴斯克斯村
Pto. Sinomaiqui	锡诺迈基村
Misión Anglicana	米西翁-安格利卡纳村
Pto. El Mirador	埃尔米拉多尔村
Ero. Los Chumucos	洛斯丘穆科斯湖
Pto. El Martillo	埃尔马尔蒂约村
El Milagro	埃尔米拉格罗
Monte Caseros	蒙特卡塞罗斯村
Chac. Munch	蒙奇牧场
Chac. El Paraíso	埃尔帕赖索牧场
San Lorenzo	圣洛伦索村
Pto. Las Maravillas	拉斯马拉维亚斯村
El Rosario	埃尔罗萨里奥村
Pto. El Mojón	埃尔莫洪村
Pto. Díaz	迪亚斯村
Chac. El Palomo	埃尔帕洛马牧场
Pto. Las Posadas	拉斯波萨达斯村
Cnia San Antonio	圣安东尼奥移民村
Chac. Basiuk	巴休克牧场
Pto. J. Sánchez	桑切斯村
Cnia Miraflores	米拉夫洛雷斯移民村
Miraflores	米拉夫洛雷斯村
Pto. Montes	蒙特斯村
La Mora	拉莫拉村
Los Quirquinchos	洛斯基尔金乔斯村
Chac. Moreno	莫雷诺牧场
Alm. Sta. María	玛利亚小姐仓库
Campo Redondo	坎波雷东多村
Pto. Caravajal	卡拉瓦哈尔村
Pto. M. Jaime	海梅村
Alm. Pozo del Toro	波索德尔托罗仓库
Rcho. Nogueira	诺盖拉溪
Cnia La Florida Grande	大拉夫洛里达移民村
Chac. Castro	卡斯特罗牧场
Pampa Castro	潘帕卡斯特罗村
Chac. Natario	纳塔里奥牧场
Pampa Machete	潘帕马切特村
Pampa Los Bedogni	潘帕-洛斯-贝多格尼村
El Porvenir	埃尔波尔韦尼尔村
Chac. Montserrat	蒙特塞拉特牧场
Cnia Monte Quemado	蒙特克马多移民村
Cnia La Florida China	拉夫洛里达中国移民村
Parroquia San Juan	帕罗基阿圣胡安村
La Puerta Negra	拉-普埃尔塔-內格拉村
La Libertad	拉利韦尔塔德
Cnia Fortuni	福尔图尼移民村
Juan José Castelli	胡安·何塞·卡斯特伊市
Chac. Torres	托雷斯牧场
Cnia Pampa Tolosa	潘帕托洛萨移民村
Pampa Tolosa	潘帕托洛萨村
Cnia Juan José Castelli	胡安·何塞·卡斯特伊移民村
Pampa El Silencio	埃尔西伦西奥草原
Zaparinqui	萨帕林基镇
Ero. de Sosa	索萨湖
Ero. La Confluencia	拉孔夫伦西亚湖
Lag. La Cangallé	拉坎加耶湖
Cnia Indígena Lote Ocho	因迪赫纳-洛特-奥乔移民村
Cnia Cabeza de Buey	卡韦萨德布埃移民村
Club de Cazadores y Pescadores	猎人和渔民俱乐部
Villa Río Bermejito	比亚-里奥-贝尔梅希托镇
Pto. Los Corchos	洛斯科尔乔斯村
Ero. El Oso	埃尔奥索湖
Campo El Aibal	坎波埃尔艾瓦尔村
Pto. Pozo Quemado	波索克马多村
Cnia El Alazán	埃尔阿拉桑移民村
Las Lagunitas	拉斯拉古尼塔斯村
Fortín Lavalle	福尔延拉瓦耶镇
Pto. Pozo El Oso	波索埃尔奥索村
Reserva Provincial de la Biósfera Chacp	查克普省级生态保护区
Cnia La Argentina	阿根廷移民村
A. El Asustado	埃尔阿苏斯塔多溪
A. El Saladillo	埃尔萨拉迪约溪
Pto. La Paloma	拉帕洛马村
Las Maravillas	拉斯马拉维亚斯村
El Malá	埃尔马拉村
Cnia Juramento	胡拉门托移民村
Balneario Municipal	巴尔内阿里奥-穆尼西帕尔村
Pampa El Colorado	埃尔科洛拉多草原
Cnia Esperanza	埃斯佩兰萨移民村
Pampa El Ocho	埃尔奥乔草原
Bche. La Sardina	拉萨尔迪纳村
Pte. Nogueira	诺盖拉山口
El Destierro	埃尔德斯铁罗村
Pampa El Mangrullo	埃尔曼格鲁约草原
Pampa Guanaco	潘帕瓜纳科村
Pampa Quimili	潘帕基米利村
Pampa Vargas	潘帕巴尔加斯村
Establ. San Francisco	埃斯塔夫莱西缅托-圣弗朗西斯科村
El Boquerón	埃尔博克龙村
La Tacuarita	拉塔夸里塔村
Riacho Nogueire	诺盖雷溪
Lag. La Tapada	拉塔帕达湖
Lag. Fn. Lavalle	福尔延拉瓦耶湖
A. Carro Marcado	卡罗马尔卡多溪
Cnia Indígena	印第安移民村
Cnia El Ciervo	埃尔谢尔沃移民村
Cnia Santos Lygares	圣托斯利加雷斯移民村
Lag. Blanca	布兰卡湖
Pampa del Indio	潘帕德尔因迪奥村
Lag. Collera	科耶拉湖
Lag. Lapache	拉帕切湖
A. Tartú	塔尔图溪
Ea. Calimonte	卡利蒙特庄园
Ea. La Uníon	拉乌尼翁庄园
Cnia Uníon Escuelas	乌尼翁-埃斯库埃拉斯移民村
Porteño Viejo	旧波尔特尼奥村
Ero Grande	格兰德湖
Los Tres Reyes	洛斯-特雷斯-雷耶斯村
Ea. El Caburé	埃尔卡武雷庄园
Cnia La Bonita	拉博尼塔移民村
Ea. Ero. La Vaca	埃罗拉巴卡庄园
A. Pavado o Pavao	帕瓦多溪（帕瓦奥溪）
Ea. Aló Lagué	阿洛拉格庄园
A. Tatú-Piré	塔图皮雷溪
Las Monchas	拉斯蒙查斯村
Ea. Tatané	塔塔内庄园
Lag. El Radicano	埃尔拉迪卡诺湖
Ero. Chacalalda	查卡拉尔达湖
Pto. Yaguareté	亚瓜雷特村
Ea. La Blanca	拉布兰卡庄园
Va. Grl. Güemes	圭梅斯将军村
Semillero Norte Argentino	阿根廷北部塞米耶罗村
